Match,Team_Name,Player_Name,Minute,Type_Of_Goal
310,Monaco,Fabinho,90+1,Penalty
330,Monaco,Fabinho,79,Penalty
91,Monaco,Fabinho,53,Normal
160,Monaco,Fabinho,51,Normal
181,Monaco,Fabinho,69,Penalty
35,Monaco,Fabinho,45+1,Penalty
211,Monaco,Fabinho,41,Normal
1705,Monaco,Marcelo,67,OG
169,Monaco,Unknown,36,Penalty
497,Monaco,Unknown,69,Penalty
1338,Monaco,Unknown,30,Penalty
1403,Monaco,Unknown,49,Penalty
1375,Monaco,Unknown,12,Penalty
1937,Monaco,Unknown,31,Penalty
1954,Monaco,Unknown,41,Penalty
2020,Monaco,Unknown,33,Penalty
2559,Monaco,Unknown,12,Penalty
2559,Monaco,Unknown,55,Penalty
2427,Monaco,Unknown,82,Penalty
2127,Monaco,Edan Diop,58,Normal
1675,Monaco,Vanderson,81,Normal
1777,Monaco,Vanderson,12,Normal
2127,Monaco,Vanderson,19,Normal
2461,Monaco,Vanderson,16,Normal
2344,Monaco,Vanderson,51,Normal
2294,Monaco,Vanderson,26,Normal
1679,Monaco,Jean Lucas,2,Normal
330,Monaco,Kamil Glik,2,Normal
181,Monaco,Kamil Glik,90+2,Normal
406,Monaco,Kamil Glik,78,Normal
867,Monaco,Kamil Glik,90+2,Normal
169,Monaco,Rony Lopes,88,Normal
252,Monaco,Rony Lopes,45,Normal
269,Monaco,Rony Lopes,38,Normal
181,Monaco,Rony Lopes,87,Normal
320,Monaco,Rony Lopes,22,Normal
320,Monaco,Rony Lopes,71,Normal
371,Monaco,Rony Lopes,17,Normal
202,Monaco,Rony Lopes,68,Normal
250,Monaco,Rony Lopes,29,Normal
211,Monaco,Rony Lopes,21,Normal
342,Monaco,Rony Lopes,44,Normal
192,Monaco,Rony Lopes,8,Normal
192,Monaco,Rony Lopes,47,Normal
572,Monaco,Rony Lopes,27,Normal
384,Monaco,Rony Lopes,69,Normal
1239,Monaco,Axel Disasi,9,Normal
1148,Monaco,Axel Disasi,45+2,Normal
1163,Monaco,Axel Disasi,23,Normal
1597,Monaco,Axel Disasi,73,Normal
2147,Monaco,Axel Disasi,21,Normal
2017,Monaco,Axel Disasi,2,Normal
1948,Monaco,Axel Disasi,44,Normal
2427,Monaco,Brice Samba,30,OG
1760,Monaco,Myron Boadu,72,Normal
1777,Monaco,Myron Boadu,77,Normal
1597,Monaco,Myron Boadu,25,Normal
1798,Monaco,Myron Boadu,77,Normal
2075,Monaco,Myron Boadu,73,Normal
2182,Monaco,Myron Boadu,60,Normal
1922,Monaco,Myron Boadu,80,Normal
2487,Monaco,Myron Boadu,85,Normal
176,Monaco,Andrea Raggi,71,Normal
1963,Monaco,Breel Embolo,60,Normal
1937,Monaco,Breel Embolo,31,Normal
2007,Monaco,Breel Embolo,61,Normal
2052,Monaco,Breel Embolo,13,Normal
1954,Monaco,Breel Embolo,54,Normal
2017,Monaco,Breel Embolo,63,Normal
2017,Monaco,Breel Embolo,89,Normal
2287,Monaco,Breel Embolo,2,Normal
2258,Monaco,Breel Embolo,69,Normal
2045,Monaco,Breel Embolo,82,Normal
2020,Monaco,Breel Embolo,72,Normal
1922,Monaco,Breel Embolo,45+1,Normal
1443,Monaco,Eliot Matazo,20,Normal
2147,Monaco,Eliot Matazo,30,Normal
320,Monaco,Jordi Mboula,90+3,Normal
102,Monaco,Keita Baldé,81,Normal
169,Monaco,Keita Baldé,31,Normal
91,Monaco,Keita Baldé,60,Normal
160,Monaco,Keita Baldé,4,Normal
181,Monaco,Keita Baldé,13,Normal
22,Monaco,Keita Baldé,57,Normal
35,Monaco,Keita Baldé,36,Normal
12,Monaco,Keita Baldé,21,Normal
849,Monaco,Keita Baldé,69,Normal
1104,Monaco,Keita Baldé,75,Normal
1130,Monaco,Keita Baldé,90,Normal
867,Monaco,Keita Baldé,29,Normal
299,Monaco,Moussa Sylla,12,Normal
299,Monaco,Moussa Sylla,90+1,Normal
1334,Monaco,Sofiane Diop,6,Normal
1239,Monaco,Sofiane Diop,78,Normal
1373,Monaco,Sofiane Diop,5,Normal
1180,Monaco,Sofiane Diop,19,Normal
1375,Monaco,Sofiane Diop,64,Normal
1163,Monaco,Sofiane Diop,53,Normal
1233,Monaco,Sofiane Diop,7,Normal
1662,Monaco,Sofiane Diop,45+2,Normal
1612,Monaco,Sofiane Diop,2,Normal
1597,Monaco,Sofiane Diop,45,Normal
1895,Monaco,Sofiane Diop,90+1,Normal
1850,Monaco,Sofiane Diop,40,Normal
1850,Monaco,Sofiane Diop,58,Normal
1910,Monaco,Sofiane Diop,53,Normal
91,Monaco,Thomas Lemar,32,Normal
22,Monaco,Thomas Lemar,65,Normal
371,Monaco,Adama Traoré,34,Normal
35,Monaco,Adama Traoré,27,Normal
35,Monaco,Adama Traoré,75,Normal
